"Employee #","Last Name","First Name","Birthday","Address","Phone Number","SSS #","Philhealth #","TIN #","Pag-ibig #","Status","Position","Immediate Supervisor","Basic Salary","Rice Subsidy","Phone Allowance","Clothing Allowance","Gross Semi-monthly Rate","Hourly Rate"
"10017","De Leon","Selena","2/20/1975","89A Armstrong Trace, Compostela 7874 Maguindanao","0918-789-0123","27-2090208-8","5.87272E+11","482-259-498-000","7.19008E+11","Regular","Account Team Leader","Romualdez, Fredrick ","41850","1500","800","800","20925","249.11"
"10018","San Jose","Allison","6/24/1986","08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union","0929-890-1234","45-3251383-0","7.45148E+11","121-203-336-000","1.14902E+11","Regular","Account Rank and File","Mata, Christian","22500","1500","500","500","11250","133.93"
"10019","Rosario","Cydney","10/6/1996","93A/21 Berge Points, Tapaz 2180 Quezon","0936-901-2345","49-1629900-2","5.79253E+11","122-244-511-000","2.65104E+11","Regular","Account Rank and File","Mata, Christian","22500","1500","500","500","11250","133.93"
"10020","Bautista","Mark","2/12/1991","65 Murphy Center Suite 094, Poblacion, Palayan 5636 Quirino","0948-012-3456","49-1647342-5","3.99665E+11","273-970-941-000","2.60055E+11","Regular","Account Rank and File","Mata, Christian","23250","1500","500","500","11625","138.39"
"10021","Lazaro","Darlene","11/25/1985","47A/94 Larkin Plaza Apt. 179, Poblacion, Caloocan 2751 Quirino","0959-123-4567","45-5617168-2","6.06387E+11","354-650-951-000","1.04908E+11","Probationary","Account Rank and File","Mata, Christian","23250","1500","500","500","11625","138.39"
"10022","Delos Santos","Kolby","2/26/1980","06A Gulgowski Extensions, Bongabon 6085 Zamboanga del Sur","0964-234-5678","52-0109570-6","3.57451E+11","187-500-345-000","1.13018E+11","Probationary","Account Rank and File","Mata, Christian","24,000.00","1,500.00","500","500","12,000.00","142.86"
"10023","Santos","Vella","12/31/1983","99A Padberg Spring, Poblacion, Mabalacat 3959 Lanao del Sur","0973-345-6789","52-9883524-3","5.4867E+11","101-558-994-000","3.60028E+11","Probationary","Account Rank and File","Mata, Christian","22500","1500","500","500","11250","133.93"
"10024","Del Rosario","Tomas","12/18/1978","80A/48 Ledner Ridges, Poblacion, Kabankalan 8870 Marinduque","0992-456-7890","45-5866331-6","9.53902E+11","560-735-732-000","9.13109E+11","Probationary","Account Rank and File","Mata, Christian","22500","1500","500","500","11250","133.93"
"10025","Tolentino","Jacklyn","5/19/1984","96/48 Watsica Flats Suite 734, Poblacion, Malolos 1844 Ifugao","0916-567-8901","47-1692793-0","7.53801E+11","841-177-857-000","2.10547E+11","Probationary","Account Rank and File","De Leon, Selena","24000","1500","500","500","12000","142.86"
"10026","Gutierrez","Percival","12/18/1970","58A Wilderman Walks, Poblacion, Digos 5822 Davao del Sur","0927-678-9012","40-9504657-8","7.97639E+11","502-995-671-000","2.10897E+11","Probationary","Account Rank and File","De Leon, Selena","24750","1500","500","500","12375","147.32"
"10027","Manalaysay","Garfield","8/28/1986","60 Goyette Valley Suite 219, Poblacion, Tabuk 3159 Lanao del Sur","0938-789-0123","45-3298166-4","8.10909E+11","336-676-445-000","2.11274E+11","Probationary","Account Rank and File","De Leon, Selena","24750","1500","500","500","12375","147.32"
"10028","Villegas","Lizeth","12/12/1981","66/77 Mann Views, Luisiana 1263 Dinagat Islands","0949-890-1234","40-2400719-4","9.3439E+11","210-395-397-000","1.22238E+11","Probationary","Account Rank and File","De Leon, Selena","24000","1500","500","500","12000","142.86"
"10029","Ramos","Carol","8/20/1978","72/70 Stamm Spurs, Bustos 4550 Iloilo","0955-901-2345","60-1152206-4","3.5183E+11","395-032-717-000","2.12142E+11","Probationary","Account Rank and File","De Leon, Selena","22500","1500","500","500","11250","133.93"
"10030","Maceda","Emelia","4/14/1973","50A/83 Bahringer Oval Suite 145, Kiamba 7688 Nueva Ecija","0968-012-3456","54-1331005-0","4.65088E+11","215-973-013-000","5.15013E+11","Probationary","Account Rank and File","De Leon, Selena","22500","1500","500","500","11250","133.93"
"10031","Aguilar","Delia","1/27/1989","95 Cremin Junction, Surallah 2809 Cotabato","0974-123-4567","52-1859253-1","1.36451E+11","599-312-588-000","1.10019E+11","Probationary","Account Rank and File","De Leon, Selena","22500","1500","500","500","11250","133.93"
"10032","Castro","John Rafael","2/9/1992","Hi-way, Yati, Liloan Cebu","0993-234-5678","26-7145133-4","6.01645E+11","404-768-309-000","6.97764E+11","Regular","Sales & Marketing","Reyes, Isabella","52670","1500","1000","1000","26335","313.51"
"10033","Martinez","Carlos Ian","11/16/1990","Bulala, Camalaniugan","0919-345-6789","11-5062972-7","3.80685E+11","256-436-296-000","9.93373E+11","Regular","Supply Chain and Logistics","Reyes, Isabella","52670","1500","1000","1000","26335","313.51"
"10034","Santos","Beatriz","8/7/1990","Agapita Building, Metro Manila","526-639-511","20-2987501-5","9.1846E+11","911-529-713-000","8.74042E+11","Regular","Customer Service and Relations","Reyes, Isabella","52,670","1,500","1,000","1,000","26,335","313.51"
